MsgID.STATE,0.0000000,False,False
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924801,0.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.2640000,-0.0383908,0.2934645,-0.2301496
MsgID.LOCAL_VELOCITY,35.2640000,-0.0000082,-0.0000105,0.0000122
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924805,0.2040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.5140000,0.0099865,0.2921296,-0.2047170
MsgID.LOCAL_VELOCITY,35.5140000,-0.0000112,-0.0000082,0.0000121
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924805,0.1830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.7640000,0.0052321,0.2562123,-0.1836445
MsgID.LOCAL_VELOCITY,35.7640000,-0.0000178,-0.0000082,0.0000142
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924800,0.1640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.0140000,-0.0444087,0.3907781,-0.1649855
MsgID.LOCAL_VELOCITY,36.0140000,0.0000056,0.0000049,0.0000179
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924799,0.1540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.2640000,-0.0524018,0.3598325,-0.1543041
MsgID.LOCAL_VELOCITY,36.2640000,-0.0000195,-0.0000279,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924799,0.1460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.5140000,-0.0523739,0.2375553,-0.1469075
MsgID.LOCAL_VELOCITY,36.5140000,-0.0000249,-0.0000135,0.0000136
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924799,0.1410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.7640000,-0.0523032,0.3053945,-0.1414359
MsgID.LOCAL_VELOCITY,36.7640000,0.0000088,-0.0000070,0.0000165
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924799,0.1330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.0140000,-0.0629114,0.3641880,-0.1337103
MsgID.LOCAL_VELOCITY,37.0140000,-0.0000029,0.0000024,0.0000144
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924789,0.1250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.2640000,-0.1699064,0.4197419,-0.1255051
MsgID.LOCAL_VELOCITY,37.2640000,-0.0000093,-0.0000088,0.0000153
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924783,0.1150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.5140000,-0.2390780,0.1674490,-0.1151700
MsgID.LOCAL_VELOCITY,37.5140000,0.0000157,0.0000006,0.0000212
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924789,0.1060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.7640000,-0.1644766,0.3394631,-0.1060151
MsgID.LOCAL_VELOCITY,37.7640000,-0.0000147,-0.0000184,0.0000164
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924800,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.0140000,-0.0441141,0.3908175,-0.0963504
MsgID.LOCAL_VELOCITY,38.0140000,0.0000063,0.0000051,0.0000195
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924807,0.0890000
